iter	Passed	Remaining
0	251	251332
1	541	270381
2	884	294058
3	1140	284064
4	1380	274796
5	1625	269236
6	1890	268225
7	2157	267474
8	2385	262640
9	2630	260380
10	2875	258534
11	3132	257888
12	3367	255688
13	3605	253953
14	3869	254070
15	4127	253869
16	4383	253458
17	4627	252430
18	4857	250779
19	5114	250596
20	5367	250240
21	5597	248854
22	5847	248412
23	6110	248501
24	6353	247792
25	6580	246533
26	6814	245558
27	7060	245096
28	7349	246066
29	7584	245243
30	7809	244103
31	8059	243790
32	8297	243137
33	8540	242663
34	8766	241712
35	9036	241988
36	9296	241965
37	9540	241529
38	9773	240830
39	10042	241009
40	10307	241096
41	10571	241127
42	10801	240389
43	11076	240666
44	11332	240507
45	11599	240571
46	11864	240581
47	12079	239569
48	12333	239368
49	12552	238496
50	12786	237935
51	13046	237840
52	13294	237538
53	13552	237416
54	13810	237283
55	14060	237015
56	14307	236695
57	14582	236837
58	14853	236893
59	15088	236379
60	15329	235973
61	15569	235549
62	15817	235249
63	16055	234818
64	16308	234585
65	16552	234246
66	16782	233704
67	17013	233178
68	17271	233037
69	17517	232728
70	17741	232136
71	17970	231616
72	18213	231285
73	18449	230869
74	18705	230700
75	18966	230595
76	19218	230374
77	19468	230133
78	19722	229924
79	19951	229439
80	20184	229005
81	20443	228867
82	20673	228402
83	20930	228243
84	21206	228276
85	21454	228018
86	21693	227653
87	21940	227383
88	22191	227151
89	22448	226980
90	22707	226826
91	22972	226728
92	23220	226466
93	23485	226355
94	23727	226032
95	23966	225681
96	24227	225540
97	24474	225269
98	24699	224791
99	24962	224660
100	25193	224246
101	25526	224736
102	25745	224210
103	26002	224023
104	26263	223864
105	26512	223609
106	26742	223189
107	26967	222730
108	27196	222313
109	27418	221842
110	27643	221396
111	27898	221197
112	28145	220926
113	28387	220628
114	28614	220211
115	28845	219821
116	29081	219478
117	29344	219340
118	29581	219000
119	29807	218591
120	30043	218251
121	30257	217756
122	30513	217565
123	30756	217280
124	31009	217066
125	31243	216719
126	31509	216599
127	31745	216263
128	31964	215823
129	32191	215434
130	32416	215039
131	32678	214884
132	32889	214397
133	33162	214321
134	33393	213966
135	33616	213563
136	33842	213181
137	34094	212964
138	34351	212783
139	34567	212343
140	34791	211957
141	35024	211626
142	35295	211525
143	35525	211180
144	35776	210956
145	36047	210855
146	36283	210543
147	36507	210164
148	36738	209828
149	36970	209497
150	37192	209113
151	37417	208751
152	37692	208662
153	37932	208380
154	38181	208149
155	38402	207767
156	38642	207489
157	38900	207303
158	39123	206936
159	39338	206529
160	39580	206260
161	39799	205874
162	40015	205476
163	40252	205187
164	40479	204850
165	40707	204519
166	40962	204320
167	41196	204021
168	41450	203818
169	41709	203638
170	41932	203287
171	42172	203015
172	42426	202811
173	42678	202600
174	42927	202374
175	43165	202093
176	43385	201728
177	43644	201549
178	43901	201357
179	44119	200989
180	44385	200837
181	44636	200618
182	44858	200268
183	45110	200057
184	45353	199801
185	45606	199591
186	45848	199332
187	46115	199180
188	46388	199054
189	46647	198864
190	46894	198626
191	47129	198334
192	47353	198001
193	47601	197766
194	47858	197568
195	48127	197421
196	48339	197037
197	48594	196833
198	48830	196547
199	49092	196370
200	49331	196096
201	49571	195830
202	49820	195601
203	50166	195747
204	50377	195368
205	50642	195195
206	50889	194953
207	51139	194724
208	51357	194370
209	51584	194057
210	51844	193863
211	52091	193622
212	52360	193463
213	52582	193128
214	52821	192860
215	53058	192584
216	53290	192287
217	53535	192039
218	53775	191776
219	54017	191517
220	54259	191257
221	54481	190929
222	54735	190713
223	54962	190407
224	55177	190054
225	55437	189862
226	55684	189621
227	55943	189422
228	56187	189174
229	56423	188895
230	56668	188650
231	56901	188363
232	57156	188151
233	57389	187865
234	57632	187610
235	57893	187418
236	58178	187299
237	58414	187026
238	58639	186714
239	58872	186429
240	59093	186106
241	59338	185860
242	59605	185683
243	59860	185469
244	60100	185209
245	60371	185040
246	60625	184822
247	60872	184580
248	61123	184351
249	61370	184110
250	61608	183845
251	61881	183679
252	62117	183407
253	62342	183101
254	62595	182877
255	62838	182623
256	63069	182335
257	63317	182098
258	63567	181867
259	63799	181582
260	64026	181285
261	64247	180970
262	64489	180718
263	64757	180536
264	65007	180303
265	65238	180019
266	65474	179748
267	65704	179461
268	65941	179193
269	66165	178892
270	66426	178689
271	66660	178414
272	66905	178169
273	67157	177942
274	67386	177655
275	67614	177365
276	67902	177233
277	68148	176990
278	68399	176761
279	68623	176461
280	68852	176174
281	69117	175981
282	69395	175817
283	69636	175562
284	69862	175269
285	70101	175009
286	70363	174806
287	70611	174566
288	70840	174282
289	71125	174134
290	71382	173917
291	71615	173642
292	71877	173439
293	72098	173134
294	72330	172856
295	72566	172590
296	72822	172371
297	73054	172094
298	73308	171869
299	73531	171573
300	73783	171345
301	74141	171361
302	74386	171113
303	74644	170895
304	74889	170648
305	75124	170380
306	75358	170109
307	75595	169844
308	75843	169604
309	76118	169425
310	76364	169180
311	76602	168918
312	76831	168635
313	77078	168394
314	77295	168087
315	77536	167832
316	77784	167593
317	78040	167369
318	78262	167074
319	78540	166899
320	78807	166699
321	79046	166440
322	79291	166192
323	79536	165946
324	79779	165695
325	80033	165468
326	80274	165214
327	80687	165311
328	80946	165091
329	81658	165790
330	81921	165576
331	82143	165277
332	82402	165051
333	82661	164827
334	82948	164659
335	83201	164422
336	83568	164409
337	83851	164230
338	84110	164003
339	84403	163842
340	84655	163601
341	85443	164392
342	85722	164197
343	86047	164090
344	86400	164035
345	86687	163854
346	86962	163649
347	87217	163407
348	87494	163205
349	87734	162934
350	88002	162716
351	88242	162445
352	88507	162222
353	88760	161974
354	89018	161738
355	89286	161518
356	89529	161253
357	89788	161017
358	90062	160807
359	90322	160573
360	90576	160328
361	90819	160062
362	91102	159868
363	91309	159540
364	91551	159274
365	91783	158990
366	92040	158751
367	92305	158524
368	92573	158302
369	92847	158091
370	93056	157769
371	93297	157502
372	93545	157246
373	93759	156934
374	94026	156710
375	94294	156488
376	94537	156224
377	94796	155988
378	95068	155771
379	95337	155551
380	95620	155351
381	95864	155090
382	96115	154838
383	96383	154614
384	96633	154361
385	96863	154077
386	97066	153752
387	97308	153486
388	97548	153219
389	97809	152984
390	98065	152741
391	98307	152476
392	98522	152170
393	98804	151968
394	99033	151684
395	99304	151464
396	99539	151189
397	99796	150949
398	100069	150730
399	100334	150501
400	100598	150270
401	100874	150057
402	101135	149820
403	101383	149565
404	101636	149317
405	101893	149074
406	102130	148804
407	102385	148559
408	102640	148313
